Name,Team,Level,Age,G,AB,PA,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
Wyatt Young,NYM,AA,24,102,320,380,92,4,49,0.620253164,4.966254959230301,0.39430894,0.265822784,1.096385542,7,sa3017081
Phillip Sikes,BOS,AA,25,106,377,432,90,13,64,0.333333333,6.346984699808731,0.50196078,0.178137651,0.57364341,10,sa3017113
John Rhodes,BAL,AA,23,104,376,413,76,8,27,0.31632653,2.5396773487025595,0.44642857,0.213768115,1.066666666,5,sa3017162
Zach Kokoska,COL,AA,25,104,343,398,74,20,57,0.286885245,6.232519918230164,0.52422907,0.232142857,0.669902912,14,sa3017165
Garrett Spain,TOR,AA,23,102,329,369,55,11,35,0.343434343,5.450339843156108,0.4612069,0.192982456,0.87755102,2,sa3017174
Collin Burns,BAL,AA,24,101,330,371,72,5,34,0.358024691,6.001745914658914,0.43426295,0.240816326,1.48,7,sa3017176
Rowdey Jordan,NYM,AA,25,116,413,466,90,9,53,0.341463414,5.242009206227691,0.44709898,0.211805555,0.923728813,6,sa3017214
Matt Rudick,NYM,AA,25,114,415,491,99,8,54,0.603773584,4.033991282472686,0.5,0.193548387,0.602564102,10,sa3017334
Kahlil Watson,CLE,AA,21,96,359,407,79,16,56,0.336,5.833850566002841,0.5210084,0.188034188,0.759259259,3,sa3017513
Hao-Yu  Lee,DET,AA,21,87,342,386,102,12,55,0.478260869,7.459036503828456,0.43727599,0.197080291,1.222222222,5,sa3017863
Brady Allen,DET,AA,24,108,366,410,75,9,40,0.237410071,4.794198092008514,0.45258621,0.213973799,0.978021978,6,sa3018098
Robert Moore,PHI,AA,22,107,379,435,91,9,48,0.534246575,4.35443850165624,0.48726115,0.220394736,0.975,9,sa3019928
Jud Fabian,BAL,AA,23,98,361,422,84,18,53,0.365079365,4.928485467483156,0.4526749,0.186440677,0.655172413,7,sa3019942
Spencer Jones,NYY,AA,23,122,482,544,125,17,73,0.27,7.325944994798872,0.3951049,0.284697508,1.451219512,4,sa3019969
Silas Ardoin,BAL,AA,23,104,360,417,72,4,26,0.405172413,2.692578054170926,0.41365462,0.248979591,1.0,5,sa3019976
Kody Huff,CLE,AA,23,98,335,389,82,7,45,0.505747126,4.937229818118899,0.42063492,0.209677419,1.0,6,sa3019982
Dylan Beavers,BAL,AA,22,119,431,509,104,15,67,0.582608695,7.4705013507346365,0.41049383,0.220125786,0.589743589,3,sa3019983
Sterlin Thompson,COL,AA,23,119,462,518,113,13,62,0.352459016,5.624700275900972,0.47246377,0.24260355,1.639175257,9,sa3019999
Ryan Clifford,NYM,AA,20,98,333,405,77,18,53,0.538461538,2.5462127627781417,0.44545455,0.188940092,0.777777777,5,sa3020126
Carter Howell,SFG,AA,25,115,445,505,121,3,64,0.474747474,6.831845760916946,0.42776204,0.275964391,1.218181818,6,sa3020139
Devonte Brown,TOR,AA,24,101,350,413,81,10,53,0.364864864,6.083372962749447,0.44390244,0.261083743,0.948051948,7,sa3020189
Cortland Lawson,WSN,AA,24,105,350,391,76,0,39,0.34090909,4.688279129582524,0.44444444,0.231372549,1.45,4,sa3020202
Josh Kasevich,TOR,AA,23,87,363,393,103,3,51,0.619047619,4.745075958239026,0.37345679,0.251592356,1.764705882,2,sa3020203
Ryan Ritter,COL,AA,23,91,318,373,86,7,57,0.397727272,7.2947078187826655,0.50214592,0.235555555,1.15,16,sa3020206
Roman Anthony,BOS,AA,20,84,323,376,87,15,60,0.5,6.652033847423999,0.40434783,0.1875,1.333333333,3,sa3020211
Kevin Parada,NYM,AA,22,114,398,454,85,13,41,0.294117647,1.97966856883358,0.46370968,0.179591836,0.70338983,8,sa3020575
Joe Lampe,CLE,AA,23,105,361,406,90,4,49,0.461538461,7.271859747666838,0.40559441,0.214788732,1.347368421,4,sa3020642
Andrew Pinckney,WSN,AA,23,114,437,487,113,7,54,0.276923076,5.8471881629734845,0.44193548,0.264900662,2.264705882,10,sa3022670
Kyle Teel,BOS,AA,22,84,325,382,97,11,65,0.551724137,4.100793754913207,0.45867769,0.2375,0.967741935,4,sa3022886
Gustavo Campero,LAA,AA,26,93,312,373,87,14,56,0.65,7.789575908354896,0.46062992,0.220883534,1.204545454,20,22707
Eric Wagaman,LAA,AA,26,94,346,388,90,14,56,0.550724637,5.298841186051448,0.44604317,0.189090909,1.207920792,2,23395
Matt Shaw,CHC,AA,22,86,312,371,87,14,60,0.692307692,6.920362476462039,0.36470588,0.194444444,1.206521739,6,33322
Cody Milligan,ATL,AA,25,105,388,426,94,5,45,0.317307692,8.05766253258789,0.36933798,0.232394366,1.202020202,3,sa1169818
Ernesto Martinez Jr.,MIL,AA,25,110,401,457,114,13,52,0.519480519,5.487680972321922,0.40061162,0.235474006,1.525252525,13,sa3003173
Lamar Sparks,MIL,AA,25,103,357,392,99,10,45,0.282051282,4.339965414929738,0.4214876,0.266666666,1.346666666,0,sa3004932
Carlos Rodriguez,MIL,AA,23,84,326,372,97,4,53,1.024390243,6.432413742233013,0.30555556,0.212014134,1.593023255,1,sa3005478
Luis Verdugo,CHC,AA,23,109,405,447,104,2,34,0.459459459,2.9446893815596216,0.39169139,0.260479041,1.266055045,2,sa3006888
Nicholas Northcut,CIN,AA,25,107,391,425,75,26,45,0.21875,2.3100649275,0.45627376,0.180076628,0.539568345,6,sa3007640
Darrien Miller,MIL,AA,23,93,306,403,65,2,51,0.780487804,4.013512148883293,0.49561404,0.271111111,0.906976744,28,sa3011330
Willy Vasquez,TBR,AA,22,97,344,371,73,5,29,0.20338983,5.004434067375327,0.37117904,0.237885462,1.507246376,1,sa3011821
Austin Hendrick,CIN,AA,23,121,437,474,82,11,42,0.14450867,4.253594748068636,0.46067416,0.193916349,0.669291338,8,sa3014521
Zavier Warren,MIL,AA,25,99,316,370,65,11,36,0.43877551,3.3277867971396287,0.39910314,0.128440366,0.652173913,6,sa3014549
Bryson Horne,ATL,AA,25,107,366,396,87,8,34,0.234782608,4.390426593027512,0.37944664,0.191836734,1.302325581,1,sa3014891
Wilfred Veras,CHW,AA,21,128,491,536,131,16,62,0.242857142,5.135920975565268,0.46368715,0.197142857,1.44347826,6,sa3015178
Tanner Murray,TBR,AA,24,111,420,448,122,7,56,0.287671232,4.958755886198062,0.42571429,0.28488372,1.484848484,4,sa3016805
Cal Conley,ATL,AA,24,126,462,515,112,3,54,0.472527472,6.072929611083635,0.37566138,0.227027027,1.698113207,1,sa3017080
Cody Morissette,MIA,AA,24,112,380,418,76,10,40,0.277777777,5.890423069086748,0.49637681,0.221402214,0.674603174,5,sa3017158
James Triantos,CHC,AA,21,89,357,391,107,7,63,0.526315789,8.755056928555035,0.45705521,0.236760124,1.606382978,8,sa3017295
Dru Baker,TBR,AA,24,110,424,467,122,0,50,0.354166666,6.317261713619827,0.4024024,0.213414634,2.394736842,4,sa3017331
Terrell Tatum,CHW,AA,24,116,430,495,94,5,59,0.453846153,6.545624628014588,0.35643564,0.179054054,1.53125,3,sa3017338
