Name,Season,Team,Level,Age,G,AB,PA_x,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,Off,MLB_PA
Adam Duvall,2013,SFG,AA,24,105,385,430,0.249350649,96,17,60,0.486111111,4.730232426912700,0.55660377,0.173076923,0.686274509,5,-22.105098091982200,3723.0
Trent Grisham,2018,MIL,AA,21,107,335,405,0.23283582,78,7,45,0.724137931,5.085193478091740,0.42857143,0.129554655,0.885964912,2,-4.689714710332610,2250.0
Freddy Galvis,2010,PHI,AA,20,138,502,545,0.233067729,117,5,58,0.337078651,5.862067698314870,0.4600939,0.132029339,1.431506849,1,-99.6603977980682,4238.0
Adam Frazier,2015,PIT,AA,23,103,377,423,0.323607427,122,2,59,0.809523809,5.3815634808060100,0.35087719,0.251515151,1.806818181,3,-15.171953648607400,3794.0
Paul DeJong,2016,STL,AA,22,132,496,552,0.260080645,129,22,62,0.277777777,3.334640282553900,0.45682451,0.209039548,0.891891891,10,-38.86215680695090,3292.0
Michael A. Taylor,2014,WSN,AA,23,98,384,441,0.3125,120,22,74,0.384615384,6.698543515852940,0.48449612,0.148594377,1.255319148,4,-73.30182478231650,3476.0
Ryan McMahon,2016,COL,AA,21,133,466,535,0.24248927,113,12,49,0.341614906,5.121664370548100,0.41214058,0.191419141,0.9140625,5,-52.25840408301610,3423.0
Zack Cozart,2009,CIN,AA,23,131,462,541,0.261904761,121,10,72,0.724137931,4.855692511395300,0.45811518,0.208556149,1.084507042,10,-47.25395615791450,3388.0
Derek Norris,2011,WSN,AA,22,104,334,423,0.209580838,70,20,75,0.658119658,5.687535130559380,0.51801802,0.130232558,0.558333333,7,-25.461414480800200,2195.0
Scooter Gennett,2012,MIL,AA,22,133,533,573,0.292682926,156,5,66,0.394366197,4.489138246225660,0.35531915,0.192982456,1.343949044,3,14.069074643238200,2911.0
Jon Jay,2008,STL,AA,23,96,372,427,0.306451612,114,11,57,0.847826086,4.743075651391440,0.39104478,0.196875,1.57,6,3.448821826012080,4314.0
C.J. Cron,2013,LAA,AA,23,134,519,565,0.273603082,142,14,56,0.277108433,3.6833855859534600,0.46292135,0.19266055,1.095238095,15,27.6851465680961,4043.0
Brett Lawrie,2010,MIL,AA,20,135,554,609,0.285198555,158,8,90,0.398305084,7.718975175289790,0.45909091,0.138568129,1.107344632,5,9.71523441485093,2417.0
Jurickson Profar,2012,TEX,AA,19,126,480,562,0.28125,135,14,76,0.835443037,6.275729646502880,0.47804878,0.151741293,1.079268292,5,-2.961031787883760,4291.0
Hunter Renfroe,2015,SDP,AA,23,112,421,463,0.258907363,109,14,50,0.294642857,4.205263451148640,0.4952381,0.203883495,0.732394366,3,9.226501393519340,3655.0
Matt Duffy,2014,SFG,AA,23,97,367,417,0.332425068,122,3,53,0.636363636,6.408687491669810,0.35275081,0.132890365,1.46226415,2,-6.809200286681680,2559.0
Josh Bell,2015,PIT,AA,22,96,368,427,0.307065217,113,5,47,0.88,5.252837818585600,0.38670695,0.158385093,1.53271028,2,44.31454751287140,4626.0
Alex Verdugo,2016,LAD,AA,20,126,477,529,0.272536687,130,13,58,0.656716417,2.484925963835100,0.38795181,0.217603911,1.461538461,4,-0.086699302099122,3180.0
Peter Bourjos,2009,LAA,AA,22,110,437,504,0.28146453,123,6,72,0.636363636,7.8516604101849200,0.41489362,0.174157303,1.352,3,-33.002911026732500,2334.0
Jesse Winker,2015,CIN,AA,21,123,443,526,0.282167042,125,13,69,0.891566265,3.915323897314420,0.44903581,0.194986072,1.49137931,6,55.722713092566300,2775.0
Austin Hedges,2014,SDP,AA,21,113,427,457,0.224824355,96,6,31,0.258426966,2.506518237729870,0.51612903,0.191616766,0.956521739,3,-148.819854173008,2359.0
Joe Panik,2013,SFG,AA,22,137,521,599,0.259117082,135,4,64,0.852941176,4.664524568823350,0.38115632,0.155555555,1.24852071,5,-35.11542737658350,3099.0
Gio Urshela,2013,CLE,AA,21,116,445,466,0.269662921,120,8,42,0.291666666,2.5529839236406300,0.46898263,0.139949109,1.060975609,1,-13.125091844350400,2831.0
Travis Shaw,2013,BOS,AA,23,127,444,529,0.22072072,98,16,57,0.666666666,4.430649640790320,0.42296073,0.180981595,0.804054054,5,-12.59324727517690,2690.0
Robbie Grossman,2012,PIT,AA,22,95,350,417,0.265714285,93,7,59,0.756410256,5.104044952008140,0.44,0.245353159,1.092783505,4,13.343935928179200,4561.0
Mitch Garver,2016,MIN,AA,25,95,358,407,0.25698324,92,11,44,0.5,1.7561906001671600,0.41726619,0.218518518,0.990566037,1,33.88057725768220,2059.0
Jake Lamb,2014,ARI,AA,23,103,374,439,0.320855614,120,14,60,0.5,4.410569587813570,0.42605634,0.214285714,0.964285714,6,-7.814278035067370,2650.0
Lonnie Chisenhall,2010,CLE,AA,21,117,460,524,0.278260869,128,17,81,0.597402597,4.794578101018250,0.42966752,0.163636363,0.939759036,10,12.16969903028080,2360.0
Danny Espinosa,2010,WSN,AA,23,99,386,435,0.261658031,101,18,66,0.351063829,6.992228546873030,0.42424242,0.162544169,1.393939393,10,-62.38330964988940,3267.0
Ben Revere,2010,MIN,AA,22,94,361,406,0.304709141,110,1,44,0.780487804,6.537971839527750,0.40615385,0.192429022,1.876404494,8,-34.34429921053960,3343.0
Josh Naylor,2018,SDP,AA,21,128,501,574,0.297405189,149,17,72,0.927536231,2.8442397823280700,0.40366972,0.18372093,1.387755102,7,23.557685109267200,2259.0
Logan Forsythe,2010,SDP,AA,23,107,392,472,0.25255102,99,3,66,0.789473684,5.073742018850250,0.50666667,0.179310344,1.333333333,4,-27.54411530485160,3540.0
Luis Valbuena,2007,SEA,AA,21,122,444,505,0.238738738,106,11,55,0.578313253,4.729469247175700,0.43048128,0.141666666,1.663793103,1,-45.35117904962460,3571.0
Willi Castro,2018,CLE,AA,21,97,371,410,0.245283018,91,5,55,0.333333333,6.105930667900830,0.45578231,0.219858156,1.365591397,3,-2.9228027343220300,2136.0
Juan Lagares,2012,NYM,AA,23,130,499,548,0.28256513,141,4,69,0.397849462,6.320745632567260,0.37046005,0.187032418,1.694214876,4,-59.10026582716040,2508.0
Ty France,2017,SDP,AA,22,97,363,402,0.275482093,100,5,42,0.323529411,2.860994328189420,0.40939597,0.248299319,1.21,15,32.31139078203460,2819.0
Mark Trumbo,2009,LAA,AA,23,137,533,581,0.290806754,155,15,54,0.37,3.482800173306290,0.41986456,0.170114942,1.422818791,1,15.84811803796700,4419.0
Josh Rojas,2018,HOU,AA,24,106,390,451,0.251282051,98,7,64,0.697368421,6.808486401782160,0.48136646,0.222580645,0.928,1,-15.808869173261900,2113.0
Lane Thomas,2018,STL,AA,22,100,384,435,0.260416666,100,21,63,0.425742574,5.737684237667270,0.48083624,0.221428571,1.202020202,3,14.90452151253640,2106.0
J.D. Davis,2016,HOU,AA,23,126,485,539,0.268041237,130,23,61,0.314685314,2.097857374642620,0.48414986,0.265306122,1.446601941,5,26.80995485930700,2142.0
Yangervis Solarte,2011,MIN,AA,23,121,459,497,0.328976034,151,7,64,0.631578947,3.967876977148740,0.52913753,0.226190476,1.288732394,5,-24.191386495973700,2645.0
