Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2009,"Marquez Smith","CHC","AA",24,113,410,450,0.280487804,115,10,56,0.402439024,4.040518332753724,0.50304878,0.179566563,1.476635514,4,"sa388379"
2015,"Marquez Smith","CIN","AA",30,125,408,482,0.267156862,109,8,56,0.649484536,4.68101776686721,0.55379747,0.203883495,1.411764705,6,"sa388379"
2010,"Taylor Harbin","ARI","AA",24,118,433,474,0.258660508,112,6,48,0.307692307,4.788018871596165,0.49862259,0.184873949,0.796296296,8,"sa388380"
2011,"Taylor Harbin","ARI","AA",25,130,481,535,0.27027027,130,8,68,0.49382716,3.717226573972007,0.47432763,0.197994987,0.904761904,5,"sa388380"
2009,"Ty Wright","CHC","AA",24,128,442,497,0.28959276,128,9,66,0.583333333,4.039985496974782,0.38560411,0.227882037,1.057142857,8,"sa388992"
2012,"Joseph Dunigan","SEA","AA",26,115,426,469,0.253521126,108,25,64,0.217142857,6.200436609455121,0.5,0.136546184,0.902654867,4,"sa389233"
2013,"Travis Mattair","CIN","AA",24,132,475,529,0.242105263,115,13,51,0.386792452,2.705478732567393,0.52419355,0.203856749,1.312,10,"sa389235"
2014,"Travis Mattair","CIN","AA",25,131,474,520,0.238396624,113,13,56,0.293233082,3.7709548883871946,0.48979592,0.16566265,0.978571428,5,"sa389235"
2010,"Jake Kahaulelio","CIN","AA",25,113,408,463,0.257352941,105,13,61,0.558441558,3.798380124562481,0.50445104,0.15076923,1.01459854,7,"sa389243"
2010,"Jim Gallagher","CHW","AA",24,136,503,590,0.294234592,148,10,71,0.831460674,2.8886038572214456,0.47368421,0.188405797,1.1,9,"sa389255"
2011,"Ben Lasater","FLA","AA",27,102,348,392,0.295977011,103,12,43,0.348314606,3.0324566493065004,0.46415094,0.16091954,1.066037735,8,"sa389264"
